,id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
0,33491101,https://www.airbnb.com/rooms/33491101,20220922013638,2022-09-22,city scrape,Casita  refugio interior,,"Es un lugar tranquilo, hay almacenes de barrio donde se pueden comprar cosas para cocinar o tomar once.<br />es un sector empresarial, asi que hay varios lugares en camle las acacias donde vende almuerzo y colaciones.",https://a0.muscache.com/pictures/87693f15-22f9-4b70-9145-1cc6a9bd1709.jpg,252327165,https://www.airbnb.com/users/show/252327165,Luz,2019-03-31,"Santiago, Chile",Hola! Mi nombre es Luz!,within an hour,100%,88%,t,https://a0.muscache.com/im/pictures/user/a3091c14-b3ca-4396-93ee-348c5e2b9b7a.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/a3091c14-b3ca-4396-93ee-348c5e2b9b7a.jpg?aki_policy=profile_x_medium,,2.0,2.0,"['email', 'phone']",t,f,"San Bernardo, Región Metropolitana, Chile",El Bosque,,-33.56362,-70.70975,Private room in guesthouse,Private room,2,,1 shared bath,3.0,3.0,"[""Heating"", ""Hot water"", ""Private entrance"", ""Lock on bedroom door"", ""Iron"", ""First aid kit"", ""Hangers"", ""Wifi"", ""Essentials"", ""Dedicated workspace"", ""Long term stays allowed"", ""Lockbox"", ""Shampoo"", ""Kitchen"", ""Hair dryer"", ""Dryer"", ""Breakfast"", ""Washer"", ""TV""]","$30,000.00",1,1125,1,1,1125,1125,1.0,1125.0,,t,0,20,50,140,2022-09-22,0,0,0,,,,,,,,,,,f,2,0,2,0,
1,41380910,https://www.airbnb.com/rooms/41380910,20220922013638,2022-09-22,city scrape,Casa Condominio Piscina Chamisero/8min de Vitacura,"Casa Chamisero, diseñada por arquitecto Mathias Klotz",,https://a0.muscache.com/pictures/b75c6983-a281-4c40-98bc-d0564a824889.jpg,110039387,https://www.airbnb.com/users/show/110039387,Stephanie,2017-01-05,"Santiago, Chile",,within a day,100%,,f,https://a0.muscache.com/im/pictures/user/69712f6e-8b89-43cf-b5ad-f986ac62a8e8.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/69712f6e-8b89-43cf-b5ad-f986ac62a8e8.jpg?aki_policy=profile_x_medium,,1.0,1.0,"['email', 'phone']",t,t,,Huechuraba,,-33.32342,-70.63119,Entire home,Entire home/apt,4,,2.5 baths,3.0,2.0,"[""Heating"", ""Pool"", ""Iron"", ""Wifi"", ""Hangers"", ""Long term stays allowed"", ""Free parking on premises"", ""Kitchen"", ""Luggage dropoff allowed"", ""Backyard"", ""Air conditioning"", ""Washer"", ""TV""]","$70,000.00",30,300,30,30,1125,1125,30.0,1125.0,,t,0,0,0,52,2022-09-22,4,0,0,2020-02-29,2021-03-14,4.0,4.0,4.0,4.75,4.25,4.75,4.0,,t,1,1,0,0,0.13
2,49392,https://www.airbnb.com/rooms/49392,20220922013638,2022-09-22,city scrape,Share my Flat in Providencia,"<b>The space</b><br />Departamento en el barrio Providencia. Completamente equipado,  Internet, WIFI, TV Cable, ciclovias,  transporte publico en Los Leones,. También tenemos cerca Supermercados, Centros Comerciales como el  Costaneracenter, Mall Panoramico, Grandes Tiendas como Falabella, Almacenes Paris,  Universidades, Parques, como el Bustamante, Los Leones para los deportes y paseos al aire libre, además de restaurantes de las más diferentes gastronomías, para todos los paladares y exigencias!. También podemos encontrar Bares para los más diferentes gustos, Discotecas, Grandes Cines, Exposiciones Culturales variadas y a 20 minutos del Aeropuerto Internacional A.M.Benitez. El barrio es uno de los mejores de la ciudad con gran diversidad de turistas, empresarios y residentes. Espero que su estadia sea inolvidable, estaré  esperando su contacto.<br /><br />Nice apartment in the Providencia neighborhood. Fully equipped,  Intenet, WIFI, Cable TV, located near all the movement of Provid",,https://a0.muscache.com/pictures/3740612/b1850389_original.jpg,224592,https://www.airbnb.com/users/show/224592,Maria,2010-09-05,"Providencia, Chile","Disfruto viajando, sobre todo a lugares donde  hay playas de agua tibia, me gusta estar en contacto con la gente de otros paises,  la naturaleza, la fotografia.
Hacer  yoga y salir en bicicleta.",within a few hours,100%,,f,https://a0.muscache.com/im/pictures/user/bd1a8f9f-17ee-4fdd-bf7b-6d190405c980.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/bd1a8f9f-17ee-4fdd-bf7b-6d190405c980.jpg?aki_policy=profile_x_medium,,2.0,3.0,"['email', 'phone']",t,t,,Providencia,,-33.43266,-70.60072,Private room in rental unit,Private room,1,,,1.0,1.0,"[""Long term stays allowed""]","$49,590.00",3,730,3,3,730,730,3.0,730.0,,t,28,58,88,178,2022-09-22,0,0,0,,,,,,,,,,,t,1,0,1,0,
3,52811,https://www.airbnb.com/rooms/52811,20220922013638,2022-09-22,city scrape,Suite Providencia 1 Santiago Chile,"Apartment located on the subway station Manuel Montt, Providencia Santiago de Chile.<br /><br /><b>The space</b><br />DEPARTAMENTO, FINAMENTE AMUEBLADO Y FULL EQUIPADO, emplazado en una comuna residencial, en el centro de Providencia, cercano a restaurantes, bares, pub, teatro, parques y centros de esparcimiento cultural, así como centros comerciales, supermercados, bancos, universidades y centros de salud.<br />El edificio esta sobre la estación de Metro Manuel Montt, por lo cual su ubicación estratégica lo hace único.<br /><br />EL EDIFICIO CUENTA CON RECEPCIÓN Y SEGURIDAD LAS 24 HORAS. El departamento y su equipamiento son:. <br />1. Piso fotolaminado tipo madera en totalidad del departamento. <br />2. Baño Principal con mueble con cubierta de mármol y lavamanos sobrepuesto; paño fijo templado en ducha, cómodamente ambientado.<br />3. Dormitorio en Suit, equipado con Box Spring con ropa de cama, bajada de cama, 2 veladores con lámparas que son parte de la decoración, TV / LCD , Sist","Edificio ubicado en el acceso a la línea del Metro Manuel Montt, no debes caminar de más o cruzar la calle, el metro está en el mismo lugar donde está emplazado el edificio.<br /><br />Una vista maravillosa y despejada de la ciudad.<br /><br />Cercano a teatro Nescafé de las Artes",https://a0.muscache.com/pictures/miso/Hosting-52811/original/b36edc4f-1671-4573-af4a-b9e01c137169.jpeg,244792,https://www.airbnb.com/users/show/244792,Cristián,2010-09-25,"Santiago Metropolitan Region, Chile","Un tipo profesional, trabajador, sencillo, con metas y objetivos claros en la vida. 

Me considero, un tipo honesto, buena persona, buen amigo de mis amigos.",a few days or more,0%,100%,f,https://a0.muscache.com/im/users/244792/profile_pic/1398987637/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/244792/profile_pic/1398987637/original.jpg?aki_policy=profile_x_medium,,3.0,4.0,"['email', 'phone', 'work_email']",t,t,"Providencia, Región Metropolitana, Chile",Providencia,,-33.42959,-70.6188,Entire rental unit,Entire home/apt,4,,1 bath,1.0,1.0,"[""Oven"", ""Wifi"", ""Refrigerator"", ""Long term stays allowed"", ""Hair dryer"", ""Cooking basics"", ""Smoke alarm"", ""Heating"", ""First aid kit"", ""Dryer"", ""Microwave"", ""Air conditioning"", ""Pool"", ""Iron"", ""Hangers"", ""TV with standard cable"", ""Essentials"", ""Kitchen"", ""Host greets you"", ""Carbon monoxide alarm"", ""Elevator"", ""Fire extinguisher"", ""Hot water"", ""Gym"", ""Cable TV"", ""BBQ grill"", ""Shampoo"", ""Paid parking on premises"", ""Dishes and silverware"", ""Paid parking off premises"", ""Washer""]","$50,526.00",1,1825,1,1,1125,1125,1.0,1125.0,,t,0,0,0,0,2022-09-22,46,1,0,2010-11-13,2021-11-04,4.42,4.59,4.52,4.66,4.59,4.64,4.36,,t,3,3,0,0,0.32
4,53494,https://www.airbnb.com/rooms/53494,20220922013638,2022-09-22,city scrape,depto centro ski el colorado chile,"<b>The space</b><br />depto 2 dormitorios equipado 8 personas lado cancha de ski el colorado santiago chile,moderna decoracion,nuevo,tv por cable, calefaccion central, estacionamiento techado,2 baños,dormitorio principal en suite.<br /><br /><b>Other things to note</b><br />CHECK IN 16 HRS<br />CHECK OUT 12 HRS<br />NOTA IMPORTANTE :los fines de semana los horarios permitidos para subir a la cordillera son hasta las 2 pm y luego a partir de las 8 pm y los horarios para bajar a la cuidad son a partir de las 16 hr",,https://a0.muscache.com/pictures/310938/cae3f1a3_original.jpg,249097,https://www.airbnb.com/users/show/249097,Paulina,2010-09-29,,"Soy dentista, casada,4 hijos",,,100%,f,https://a0.muscache.com/im/pictures/user/6d0ff7e0-5b79-416a-b02d-b6c5b265ba6f.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/6d0ff7e0-5b79-416a-b02d-b6c5b265ba6f.jpg?aki_policy=profile_x_medium,,3.0,3.0,"['email', 'phone']",t,t,,Lo Barnechea,,-33.34344,-70.29432,Entire rental unit,Entire home/apt,8,,2 baths,2.0,8.0,"[""Building staff"", ""Heating"", ""Hot water"", ""TV with standard cable"", ""Essentials"", ""Cable TV"", ""Long term stays allowed"", ""Free parking on premises"", ""Kitchen""]","$149,999.00",2,730,2,2,730,730,2.0,730.0,,t,21,51,81,356,2022-09-22,38,0,0,2016-06-21,2021-05-22,4.76,4.78,4.89,4.89,4.89,4.73,4.68,,f,1,1,0,0,0.5
5,65058,https://www.airbnb.com/rooms/65058,20220922013638,2022-09-22,city scrape,Dpto amoblado centro historico,"<b>The space</b><br />FURNISHED APARTMENT STEPS FROM SANTIAGO HISTORICAL CENTER! <br /> <br />The apartment is located in a privileged area of Santiago, close to the historic center, just steps from the Metropolitan Park (Cerro San Cristobal), steps from Bellavista (where you find theaters, bars, restaurants and a house - museum of Pablo Neruda) and subway. <br /> <br />INCREDIBLE VIEWS! Building with barbecue, pool, gym, 24 hour concierge. Modern Department. The building has a BBQ area and a rooftop pool with panoramic views of Santiago. <br /> <br />And with BICYCLES for tourists! <br /> <br />The apartment has all the necessary amenities to make your stay pleasant to the city of Santiago. The furnished kitchen (refrigerator, microwave, bar for a drink or eat, cooking utensils, kettle, gas stove), living room with sofa bed. These are the common areas. <br /> <br />The double bed room with TV, en suite bathroom, terrace with table and chairs to enjoy the view of the city. <br /> <br /",,https://a0.muscache.com/pictures/1023289/2ec04f6d_original.jpg,318016,https://www.airbnb.com/users/show/318016,Patricio,2010-12-13,"Santiago, Chile","Me gusta el deporte y la vida al aire libre (bike, sky, camping). Idiomas, español, ingles. Países visitados: Argentina, Perú, Bolivia, Colombia, Brasil, Usa, Canada, China.  En relación a Chile, puedo aconsejar visitar:
Santiago, es la capital, es una ciudad moderna, mucha vida nocturna, restoranes, parques, y como toda metropolis tener los cuidados normales con las pertenencias, no existe delincuencia mas que en otros paises. Otros lugares que son iconos para visitar, Isla de pascua, torres del paine (al sur del mundo, es un parque increible donde puedes ver glaciares milenarios, bosques, rios  y lagunas), Viña del mar/ Valparaiso, San Pedro de Atacama ( pueblo ubicado en el desierto mas arido del mundo).",,,,f,https://a0.muscache.com/im/users/318016/profile_pic/1323628846/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/318016/profile_pic/1323628846/original.jpg?aki_policy=profile_x_medium,,1.0,1.0,"['email', 'phone']",t,f,,Recoleta,,-33.43049,-70.64135,Private room in rental unit,Private room,2,,1 bath,1.0,1.0,"[""Heating"", ""Pool"", ""Gym"", ""Long term stays allowed"", ""Elevator"", ""Kitchen"", ""Dryer"", ""Washer"", ""TV""]","$56,140.00",2,730,2,2,730,730,2.0,730.0,,t,30,60,90,365,2022-09-22,0,0,0,,,,,,,,,,,f,1,0,1,0,
6,73752,https://www.airbnb.com/rooms/73752,20220922013638,2022-09-22,city scrape,Barrio Lastarria,"<b>The space</b><br />Top Location in Santiago. (Belle Arts Museum Area) <br /> <br />Send me and email before you book it, the apartment is only available in May (2-11 May 2011). <br /> <br />The neighbourhood is an icon where art and bohemian meet. <br /> <br />Departamento Lindo en el barrio. Completamente equipado,  Lavandaria. Se encuentra ubicado cerca de todo el movimiento , a unos pocos minutos del centro de Santiago, donde en los alrededores encontramos el metro, donde te da opción practica de conocer la ciudad, pero si prefieres puedes encontrar un gran cantidad de Bus, para todos los barrios de Santiago. También tenemos cerca Supermercados, Centros Comerciales como el Mall Panoramico,Grandes Tiendas como Falabella, Almacenes Paris,  Universidades, Parques, como el Bustamante Forestal, Los Leones para los deportes y paseos al aire libre, además de restaurantes de las más diferentes gastronomías, para todos los paladares y exigencias!. También podemos encontrar Bares para los ",,https://a0.muscache.com/pictures/486180/ed0b1cb2_original.jpg,374124,https://www.airbnb.com/users/show/374124,Daniela&Ricardo,2011-02-02,"Santiago, Chile","we enjoy meeting people and other cultures. We care about the environment, we love to be outdoor, hiking, biking, exploring new places, visiting concerts and museums.",,,,f,https://a0.muscache.com/im/users/374124/profile_pic/1296661339/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/374124/profile_pic/1296661339/original.jpg?aki_policy=profile_x_medium,,1.0,1.0,"['email', 'phone']",t,f,,Santiago,,-33.43868,-70.64414,Private room in rental unit,Private room,1,,3 baths,1.0,1.0,"[""Wifi"", ""Kitchen"", ""Heating"", ""TV""]","$74,853.00",3,10,3,3,10,10,3.0,10.0,,t,30,60,90,365,2022-09-22,0,0,0,,,,,,,,,,,f,1,0,1,0,
7,80482,https://www.airbnb.com/rooms/80482,20220922013638,2022-09-22,city scrape,Room Private for Woman,"Near transport, subway, malls supermarkets, walking areas, mountains.  South of the city taking the subway downtown is like 30 minutes or less.<br /><br /><b>The space</b><br />I am renting a small private room in a Chilean family, (3) there are three living in the house PPL, we have have preferences for traveling students and women, only women who live here. We speak English, so our communication will be the best. Our house has a kitchen and a patio to share. So you can cook.<br /><br />Our house is situated in a spectacular neighborhood, close to all basic services such as banks, pharmacies, supermarkets, many shops, universities, colleges, and were about 2 malls, where you will find many shops and fast food meals, as many options to delight your palate. <br /><br />There are also Chinese restaurants, Arabic, Mexican food, among several options. We are also close to the cultural center where you can find the performance of several shows, we also have about craft fairs, where you know","we live in front of a park, its a quiet neirbourhood and walking distance to the mall and subway station",https://a0.muscache.com/pictures/3633153/dffd58b0_original.jpg,154527,https://www.airbnb.com/users/show/154527,Jacqueline,2010-06-28,"Santiago, Chile","Social and good host, am a Tour guide for years so am outgoing, at home quiet at times as I like to spend time resting ;) , hard working and very respectful, I believe everyone is a good human being, I am serious and like to be taken serious, I love to feel at home with people I meet and make good friends.",a few days or more,0%,,f,https://a0.muscache.com/im/users/154527/profile_pic/1277782087/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/154527/profile_pic/1277782087/original.jpg?aki_policy=profile_x_medium,,1.0,2.0,"['email', 'phone']",t,f,"Santiago, Santiago Metropolitan Region, Chile",La Florida,,-33.51918,-70.59149,Private room in home,Private room,2,,1 shared bath,1.0,1.0,"[""Bed linens"", ""Iron"", ""Wifi"", ""Refrigerator"", ""TV with standard cable"", ""Cooking basics"", ""Cable TV"", ""Oven"", ""Stove"", ""BBQ grill"", ""Patio or balcony"", ""Kitchen"", ""Single level home"", ""Dryer"", ""Microwave"", ""Breakfast"", ""Long term stays allowed"", ""Dishes and silverware"", ""Backyard"", ""Washer""]","$22,242.00",2,730,2,2,730,730,2.0,730.0,,t,28,58,88,363,2022-09-22,0,0,0,,,,,,,,,,,t,1,0,1,0,
8,83677,https://www.airbnb.com/rooms/83677,20220922013638,2022-09-22,city scrape,Loft in Pocuro,"<b>The space</b><br />Great loft (new) in one of the most beautiful places in Santiago. Two blocks from public tansportation (subway and buses). One block away from green areas and parks... <br /> <br />Está situado en uno de los mejores barrios de la ciudad de Santiago, donde podemos apreciar una maravillosa vista de la Cordillera de Los Andes, es un barrio seguro y residencial, donde nos encontramos situados entre dos metros: Cristobal Colon y Francisco Bilbao, que es un medio rápido para conocer la ciudad. También podemos encontrar muchas posibilidades de buses, para varios lugares de la ciudad. Aquí tenemos a disposición bancos, farmacias, supermercados, universidades, colegios, parques para disfrutar de paseos y deportes al aire libre. <br /> <br />Te espero!! <br /> <br />Located in one of the best neighborhoods in the city of Santiago, where we see a wonderful view of the Cordillera de Los Andes, is a safe and residential neighborhood, where we are located between two meters: Ch",,https://a0.muscache.com/pictures/571925/5158514b_original.jpg,456388,https://www.airbnb.com/users/show/456388,Keno,2011-03-22,"Santiago, Chile","Lo que más me gusta hacer es deportes, como el skate, el surf y el snowboard. I like to do is sports such as skateboarding, surfing and snowboarding.",a few days or more,0%,,f,https://a0.muscache.com/im/users/456388/profile_pic/1320241104/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/456388/profile_pic/1320241104/original.jpg?aki_policy=profile_x_medium,,1.0,1.0,"['email', 'phone']",t,f,,Providencia,,-33.43159,-70.59202,Entire rental unit,Entire home/apt,2,,,1.0,1.0,"[""Heating"", ""Pool"", ""Wifi"", ""TV with standard cable"", ""Long term stays allowed"", ""Cable TV"", ""Free parking on premises"", ""Kitchen"", ""Elevator"", ""Dryer"", ""Washer""]","$135,671.00",1,730,1,1,730,730,1.0,730.0,,t,30,60,90,365,2022-09-22,0,0,0,,,,,,,,,,,f,1,1,0,0,
9,88944,https://www.airbnb.com/rooms/88944,20220922013638,2022-09-22,city scrape,COZY APT. PROVIDENCIA METRO WIFI TV,"Departamento amplio y acogedor. Posee excelente conectividad y comercio. Nueva dueña a partir del 6 enero del 2016.<br />Spacious and cozy apartment. It has excellent connectivity and commerce. New owner as of January 2016.<br /><br /><b>The space</b><br />in the 80s most iconic building - En el edificio más emblemático de los 80s.<br />Plaza Lyon - Providencia - Metro Los Leones<br />Av Nueva Providencia 2211 4th floor <br />24/7 security, wifi, cable<br />NO SMOKING<br /><br />Great for people who are going to Santiago and need to stay in a well place, want to be safe, low noise and use the subway to move.<br /><br /><br />Conveniently placed on Providencia Heart, his apartment offers many choices to move safe and fast to most of the shopping areas and restaurants of the east Santiago, and downtown too.<br /><br /><br />Features.<br />1 big dorm. double size bed, suit bathroom, big living and dining room. Kitchen independent and full equipped. Terrace and alarm. 55 square meters (65 ","El barrio es tranquilo. Esta en un sector de mucho comercio, restaurantes y bares.<br />Muy buena locomoción",https://a0.muscache.com/pictures/8fd1c60d-5a8f-4f85-a329-de4ecdb0007c.jpg,485358,https://www.airbnb.com/users/show/485358,Macarena,2011-04-05,"Santiago, Chile","Soy la propietaria del departamento a contar del 6 de enero del 2016.
Algunas de mis características es ser muy responsable, respetuosa y empática. Trabajo en una empresa de salud hace 3 años, realizando exámenes médicos. 
Nací en el extremo sur del mundo, en un lugar llamado Coyhaique, donde viven mis papas. Vivo en Santiago hace 5 años.
",within an hour,100%,97%,t,https://a0.muscache.com/im/pictures/user/b6fb7fd4-1d28-466d-9086-d6790b9e5b2e.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/b6fb7fd4-1d28-466d-9086-d6790b9e5b2e.jpg?aki_policy=profile_x_medium,,1.0,2.0,"['email', 'phone']",t,t,"Providencia, Santiago, Región Metropolitana, Chile",Providencia,,-33.4222,-70.60846,Entire condo,Entire home/apt,2,,1 bath,1.0,1.0,"[""Building staff"", ""Private entrance"", ""Bed linens"", ""Wifi"", ""Refrigerator"", ""Long term stays allowed"", ""Hair dryer"", ""Luggage dropoff allowed"", ""Cooking basics"", ""Smoke alarm"", ""Heating"", ""Stove"", ""Microwave"", ""Patio or balcony"", ""Hangers"", ""TV with standard cable"", ""Essentials"", ""Kitchen"", ""Elevator"", ""Hot water"", ""Cable TV"", ""Shampoo"", ""Dishes and silverware"", ""Paid parking off premises""]","$33,553.00",3,365,3,3,1125,1125,3.0,1125.0,,t,0,11,41,267,2022-09-22,172,13,1,2011-10-21,2022-09-06,4.73,4.76,4.65,4.91,4.9,4.95,4.72,,f,1,1,0,0,1.29
