,id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
0,20786530,https://www.airbnb.com/rooms/20786530,20220909140106,2022-09-09,city scrape,Manly Harbourview @ Forty Baskets Beach,"Perched above our waterfront home is a beautiful apartment with harbour views and private deck.  You are 59 steps (or inclinator) away from beautiful Forty Baskets beach and the National Park . The beach offers a harbour pool & water taxi access. Queen Bed and  Single Sofa bed is available.  A kitchenette allows you to prepare basic meals.<br /><br />Also on the property is our larger Beachside Apartment, book both for a special event. <br /><br />Street Parking available<br /><br /><b>The space</b><br />Perfect if you are attending Sailing regattas - we often host teams competing on Sydney Harbour We are adjacent to Davis Marina if you are arriving by water.<br /><br /><b>Guest access</b><br />Our front courtyard on Forty Baskets beach is available to sit and relax on. Watch the passing walkers and harbour craft. Have a dip in the harbour pool and rinse off using our hot beach shower.<br />The common laundry ( with our other guest accommodation) is on the beach level.<br /><br /><b>Li",Our home is in a quiet neighbourhood - a few kilometres away from the Manly Hub and beaches,https://a0.muscache.com/pictures/62548609-da04-47ef-a90d-bf2b62a4a14c.jpg,1980428,https://www.airbnb.com/users/show/1980428,Sally,2012-03-21,"Sydney, Australia",Ed and Sally have 3 adult children.  This property on Sydney Harbour reflects are close involvement with the sailing community. We often host members of the Australian Sailing Team,within a few hours,100%,93%,t,https://a0.muscache.com/im/users/1980428/profile_pic/1341965761/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/1980428/profile_pic/1341965761/original.jpg?aki_policy=profile_x_medium,Balgowlah,3.0,3.0,"['email', 'phone', 'work_email']",t,t,"Balgowlah Heights, New South Wales, Australia",Manly,,-33.80268,151.27087,Entire rental unit,Entire home/apt,2,,1 bath,,2.0,"[""Washer"", ""Beachfront"", ""Smoke alarm"", ""Waterfront"", ""Kitchen"", ""Bed linens"", ""TV with standard cable"", ""Wifi"", ""Essentials"", ""Hot water"", ""Luggage dropoff allowed"", ""Hangers"", ""Dishes and silverware"", ""Heating"", ""Air conditioning"", ""Private entrance"", ""Extra pillows and blankets"", ""Long term stays allowed"", ""Hair dryer"", ""Carbon monoxide alarm"", ""Iron"", ""Free street parking"", ""Cable TV"", ""Refrigerator"", ""Shampoo"", ""Patio or balcony""]",$185.00,6,60,6,6,60,60,6.0,60.0,,t,8,19,22,80,2022-09-09,55,4,0,2017-09-09,2022-07-13,4.98,4.95,4.98,4.98,4.96,4.93,4.87,PID-STRA-9385,f,3,3,0,0,0.9
1,640104446197572605,https://www.airbnb.com/rooms/640104446197572605,20220909140106,2022-09-09,city scrape,Harbourfront studio in the centre of Manly,"Enjoy easy access to everything from this fantastically-located base!<br /><br />Nestled at the rear of a beautiful Art Deco building, with its own private entrance,  this harbourside studio apartment has defined living & bedroom spaces, a fully-equipped kitchen and home-office facilities for those working from home.<br /><br />Situated opposite the beach at Manly Cove, you are just steps from the Corso (high street) and frequent direct ferries to the CBD.<br /><br /><b>The space</b><br />Suitable for couples, singles, business travellers and those looking to capitalise on post-COVID ""working from home"" freedom! Come and work (or play!) with world-famous beaches, surf breaks, national parks, hiking/walking/running trails, and a marine reserve right on your doorstep.<br /><br />Surf, kayak, SUP board, scuba dive and bike hire are all available in the immediate area, as are all the shops, cafes and bars of the Corso. Plus a direct ferry to Sydney city centre departs multiple times an hou",,https://a0.muscache.com/pictures/miso/Hosting-640104446197572605/original/22756152-5069-4780-b5ce-85b401752d44.jpeg,408860810,https://www.airbnb.com/users/show/408860810,Kel,2021-06-24,,,within a few hours,100%,100%,f,https://a0.muscache.com/im/pictures/user/ac7b5d75-dbd8-4730-9d54-fe4712a338d0.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/ac7b5d75-dbd8-4730-9d54-fe4712a338d0.jpg?aki_policy=profile_x_medium,,1.0,1.0,['phone'],t,t,,Manly,,-33.79936,151.28372,Entire rental unit,Entire home/apt,2,,1 bath,,2.0,"[""Dedicated workspace"", ""Freezer"", ""Beachfront"", ""Smoke alarm"", ""Waterfront"", ""Baking sheet"", ""42\"" HDTV with Netflix"", ""Kitchen"", ""Coffee maker"", ""Cooking basics"", ""Bed linens"", ""Fast wifi \u2013 55 Mbps"", ""Essentials"", ""Hot water"", ""Shower gel"", ""First aid kit"", ""Laundromat nearby"", ""Drying rack for clothing"", ""Portable heater"", ""Hangers"", ""Dining table"", ""Dishes and silverware"", ""Outdoor dining area"", ""Wine glasses"", ""Portable fans"", ""Private entrance"", ""Board games"", ""Microwave"", ""Extra pillows and blankets"", ""Gas stove"", ""Long term stays allowed"", ""Hair dryer"", ""Body soap"", ""Lockbox"", ""Carbon monoxide alarm"", ""Oven"", ""Toaster"", ""Outdoor furniture"", ""Hot water kettle"", ""Iron"", ""Fire extinguisher"", ""Free street parking"", ""Refrigerator"", ""Free washer \u2013 In unit"", ""Clothing storage"", ""Paid parking lot off premises"", ""Shampoo"", ""Conditioner"", ""Cleaning products""]",$200.00,3,365,3,3,365,365,3.0,365.0,,t,3,18,43,71,2022-09-09,0,0,0,,,,,,,,,,PID-STRA-38276,f,1,1,0,0,
2,48669118,https://www.airbnb.com/rooms/48669118,20220909140106,2022-09-09,city scrape,Private Room Sunny Modern Manly Beach Front Unit,"Private Room in a beautiful, sunny, modern, new, fully furnished, equipped 2-bed apartment in Manly. Wharfside, beachfront, with a big balcony, looking onto stunning water views and breathtaking sunsets. Even its own balcony bar to enjoy a drink while watching the world go by. Central location, opposite the beach, close to ""The Office"" for sunset picnic drinks, lots of beaches, walks, the Corso, Shops, bars, restaurants, entertainment, buses and 18 min ferry to CBD all only a 2-5 min walk away.<br /><br /><b>The space</b><br />You'll have your own fully furnished private queen room, with a fitted mirrored wardrobe, bedside table, lamp, chest of drawers, desk, lamp, and chair. Linen, duvet, pillows, towels, toilet paper, shampoo, conditioner, shower gel, soap, tea and coffee are all supplied. WIFI, PayTv, Netflix, Prime, Electric, Gas, and Parking permit are all included. This would suit a short stay executive/professional or tourist/family member visiting, that is looking for a somewhe",,https://a0.muscache.com/pictures/15013732-3301-4c9c-bf67-8b3d28a0498d.jpg,7706177,https://www.airbnb.com/users/show/7706177,Kelly,2013-07-24,"Manly, Australia","I'm down to earth, social and friendly female, looking for a positive and respectful short term flatmate to share my beautiful home with. In my spare time, I like to go out with friends, family and do anything healthy, exciting and new. ",,,,f,https://a0.muscache.com/im/pictures/user/188bf5ef-f936-48d6-a42b-59efb7bdd912.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/188bf5ef-f936-48d6-a42b-59efb7bdd912.jpg?aki_policy=profile_x_medium,,1.0,1.0,['phone'],t,t,,Manly,,-33.79911,151.28289,Private room in rental unit,Private room,1,,1 shared bath,2.0,1.0,"[""Dedicated workspace"", ""Beach essentials"", ""Washer"", ""Freezer"", ""Beachfront"", ""Barbecue utensils"", ""Clothing storage: wardrobe and dresser"", ""Smoke alarm"", ""Baking sheet"", ""Waterfront"", ""Kitchen"", ""Room-darkening shades"", ""Coffee maker"", ""Cooking basics"", ""Bed linens"", ""Wifi"", ""Dishwasher"", ""Stove"", ""Essentials"", ""Hot water"", ""Shower gel"", ""First aid kit"", ""Laundromat nearby"", ""Drying rack for clothing"", ""Cleaning before checkout"", ""Hangers"", ""Dining table"", ""Single level home"", ""Dishes and silverware"", ""Heating"", ""Wine glasses"", ""Outdoor dining area"", ""Portable fans"", ""Private entrance"", ""Microwave"", ""Bathtub"", ""Sound system"", ""Private patio or balcony"", ""Extra pillows and blankets"", ""Long term stays allowed"", ""Hair dryer"", ""Body soap"", ""TV"", ""Oven"", ""Toaster"", ""Outdoor furniture"", ""Hot water kettle"", ""Iron"", ""Fire extinguisher"", ""Mini fridge"", ""Free street parking"", ""Refrigerator"", ""BBQ grill"", ""Shampoo"", ""Conditioner"", ""Lock on bedroom door"", ""Cleaning products""]",$115.00,90,90,90,90,90,90,90.0,90.0,,t,0,0,0,153,2022-09-09,1,0,0,2021-04-04,2021-04-04,4.0,5.0,3.0,5.0,5.0,5.0,5.0,,f,1,0,1,0,0.06
3,641626442542109423,https://www.airbnb.com/rooms/641626442542109423,20220909140106,2022-09-09,city scrape,Manly harbour view Eastern Hill appartment,"Beautiful art deco newly renovated appartment. Direct ocean front so peaceful and stunning sea views from 3 rooms.<br /><br /><b>The space</b><br />2 bedrooms with new carpet, 2 bathroom,harbour view appartment. Sunroom/office with desk and chair. Separate dining/ kitchen and lounge. Underfloor heating in bathrooms, reverse cycle air con in main room and open fire for cosy romantic nights. New kitchen with all new appliances. Induction stove top, new fridge with plumbed in ice and filtered water. Laundry cupboard with washing machine and heat pump dryer.<br />Available 22 June until end September. Long let prefered<br /><br /><b>Guest access</b><br />All the flat is availble. Sunroom home office also available to use, though storage wall will be closed as contains my personal effects.<br /><br /><b>Other things to note</b><br />Available from 22 June until end of September. Family and friends nearby incase of problems or questions.<br /><br /><b>License number</b><br />PID-STRA-36676",,https://a0.muscache.com/pictures/miso/Hosting-641626442542109423/original/12e11a6b-c7f0-42bc-9334-971f9ec29bd8.jpeg,37706145,https://www.airbnb.com/users/show/37706145,Louise,2015-07-06,,,within a few hours,100%,86%,f,https://a0.muscache.com/im/pictures/user/c2703b65-c309-43eb-9776-075e228c7cea.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/c2703b65-c309-43eb-9776-075e228c7cea.jpg?aki_policy=profile_x_medium,,1.0,2.0,"['email', 'phone']",t,t,,Manly,,-33.80572,151.28314,Entire rental unit,Entire home/apt,4,,2 baths,2.0,2.0,"[""Dedicated workspace"", ""Freezer"", ""Stainless steel oven"", ""Beachfront"", ""Rice maker"", ""Smoke alarm"", ""Waterfront"", ""Indoor fireplace"", ""Baking sheet"", ""Kitchen"", ""Room-darkening shades"", ""Coffee maker"", ""Cooking basics"", ""Bed linens"", ""Wifi"", ""Dishwasher"", ""Stove"", ""Essentials"", ""Heating - split type ductless system"", ""Hot water"", ""Shower gel"", ""Bluetooth sound system"", ""First aid kit"", ""Drying rack for clothing"", ""Luggage dropoff allowed"", ""Hangers"", ""Dining table"", ""Children\u2019s books and toys for ages 2-5 years old, 5-10 years old, and 10+ years old"", ""Free washer"", ""Single level home"", ""Dishes and silverware"", ""Ceiling fan"", ""Wine glasses"", ""Private entrance"", ""Board games"", ""Clothing storage: closet and wardrobe"", ""Microwave"", ""Bathtub"", ""Extra pillows and blankets"", ""Long term stays allowed"", ""Hair dryer"", ""Free dryer \u2013 In unit"", ""Bodyshop body soap"", ""AC - split type ductless system"", ""Lockbox"", ""HDTV with Amazon Prime Video, Netflix"", ""Toaster"", ""Nespresso machine"", ""Hot water kettle"", ""Iron"", ""Free street parking"", ""Refrigerator"", ""Shampoo"", ""Conditioner"", ""Cleaning products""]",$250.00,7,90,7,7,90,90,7.0,90.0,,t,8,8,8,9,2022-09-09,3,3,1,2022-07-01,2022-08-15,5.0,5.0,5.0,5.0,5.0,5.0,5.0,PID-STRA-36676,f,1,1,0,0,1.27
4,612018656283585606,https://www.airbnb.com/rooms/612018656283585606,20220909140106,2022-09-09,city scrape,Heart Of Manly - Close to Wharf and Beach,"In the heart of Manly, Easy walk to the Beach, short walk to the Corso and moments walk to the Ferry. <br /> <br />✔ Moments walk to the Corso <br />✔ Short walk to the Beach <br />✔ Short walk to Ferry's <br />✔ Across the road from Coles & cafes <br />✔ A number of public transport options <br />✔ Full Kitchen, Laundry and appliances <br />✔ Free Wifi <br /> <br />You will love spending time relaxing in this comfortable apartment. <br /> <br />Below you will find details of each room and things you need to know about your stay<br /><br /><b>The space</b><br />The convenience of this apartment will be hard to beat, to make it easier we have detailed what's in the apartment below.  <br /> <br />Living/Dining room <br />- Open plan <br />- Flat Screen TV <br />- 2 Seater lounge and two armchairs <br />- Coffee table <br />- 4 Seat glass dining table <br />- Access to balcony. <br /> <br />Kitchen <br />- Microwave <br />- Fridge <br />- Gas Stove and electric oven <br />- Dishwasher <br","Apartment is situated in the centre of Manly, within walking distance to the Beach, local restaurants, bars, cafes and the Ferry wharf.",https://a0.muscache.com/pictures/prohost-api/Hosting-612018656283585606/original/2f3871e5-9055-4466-b94f-9fa210fcca6e.jpeg,376663108,https://www.airbnb.com/users/show/376663108,Jacob,2020-11-22,,,within an hour,100%,99%,t,https://a0.muscache.com/im/pictures/user/e2bfe694-2aae-4ba5-8949-d048afd2405e.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/e2bfe694-2aae-4ba5-8949-d048afd2405e.jpg?aki_policy=profile_x_medium,,5.0,6.0,['phone'],t,t,"Manly, New South Wales, Australia",Manly,,-33.8001,151.28512,Entire rental unit,Entire home/apt,2,,1 bath,1.0,1.0,"[""Dedicated workspace"", ""Washer"", ""Host greets you"", ""Smoke alarm"", ""Kitchen"", ""Free parking garage on premises \u2013 1 space"", ""Coffee maker"", ""Cooking basics"", ""TV with standard cable"", ""Wifi"", ""Dishwasher"", ""Stove"", ""Essentials"", ""Dryer"", ""Hot water"", ""First aid kit"", ""Hangers"", ""Dishes and silverware"", ""Heating"", ""Air conditioning"", ""Microwave"", ""Long term stays allowed"", ""Hair dryer"", ""Oven"", ""Elevator"", ""Iron"", ""Fire extinguisher"", ""Cable TV"", ""Refrigerator"", ""Shampoo"", ""Patio or balcony""]",$169.00,3,365,4,21,365,365,18.4,365.0,,t,9,12,42,128,2022-09-09,6,6,1,2022-05-05,2022-08-23,4.83,5.0,5.0,4.83,5.0,4.83,4.67,PID-STRA-35357,f,4,4,0,0,1.41
5,10613831,https://www.airbnb.com/rooms/10613831,20220909140106,2022-09-09,city scrape,Sunny Art Deco Manly Beach apartment,"Enjoy everything that Manly has to offer! With Manly Beach at one end of our street and Manly Cove at the other, our location is outstanding. It's two minutes walk to the ferries, beach, surf, shops, bars, and cafes.  <br /><br />Our modern, renovated two bedroom apartment is quietly positioned on the third story of a 1930's Art Deco building that has retained all of its original charm. We have a modern kitchen, appliances, Foxtel and wifi.<br /><br />Super light, bright and well positioned for a great getaway.<br /><br /><b>License number</b><br />PID-STRA-22914",,https://a0.muscache.com/pictures/a0d0a68d-793e-4b91-b0a6-75b8247b08b9.jpg,16654238,https://www.airbnb.com/users/show/16654238,Christopher,2014-06-11,"Manly, Australia",,within a day,70%,26%,f,https://a0.muscache.com/im/users/16654238/profile_pic/1436175483/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/16654238/profile_pic/1436175483/original.jpg?aki_policy=profile_x_medium,Manly,1.0,1.0,"['email', 'phone']",t,t,,Manly,,-33.80077,151.28603,Entire rental unit,Entire home/apt,2,,1 bath,1.0,1.0,"[""Washer"", ""Smoke alarm"", ""Indoor fireplace"", ""Kitchen"", ""Cooking basics"", ""TV with standard cable"", ""Wifi"", ""Dishwasher"", ""Stove"", ""Essentials"", ""Hot water"", ""First aid kit"", ""Hangers"", ""Dishes and silverware"", ""Long term stays allowed"", ""Oven"", ""Iron"", ""Fire extinguisher"", ""Free street parking"", ""Cable TV"", ""Refrigerator"", ""Shampoo""]",$180.00,7,1125,7,7,1125,1125,7.0,1125.0,,t,0,0,0,10,2022-09-09,13,3,1,2016-12-28,2022-08-18,5.0,4.92,4.85,4.85,4.77,5.0,4.92,PID-STRA-22914,f,1,1,0,0,0.19
6,18877219,https://www.airbnb.com/rooms/18877219,20220909140106,2022-09-10,city scrape,Harbour Hideaway,"(Only 2 adults  are allowed in Harbour Hideaway)<br />This luxury one bedroom Apartment is on the lower level of our house, which overlooks Sydney Harbour, It has its own private entrance and is totally separate, it has direct access to the beach in Clontarf, there are 62 steps up to the apartment. <br />Seaforth Village and Manly are only a short drive away. <br />A wide variety of first-class dining and shopping options are available locally, some of the best Restaurants are just across the water.<br /><br /><b>The space</b><br />The apartment is unique in that it is on Clontarf beach so a swim or a kayak are only a short step away. It is also on the Spit to Manly walk which for the more adventurous will take you to Manly via the beautiful foreshore.<br /><br /><b>Guest access</b><br />The apartment is self contained and has a huge balcony (with BBQ) that overlooks Clontarf beach and reserve.<br /><br /><b>Other things to note</b><br />Entrance to the apartment is via the beach road ","We have a beautiful sandy beach 1 min across from the Apartment.....<br />We are also on the Spit to Manly walk way , which is a stunning costal walk on our doorstep.<br />We have 4 local restaurants on the water, 5 mins drive or a 30 min walk.<br />Manly is 10 mins away by car and you can also catch the ferry from Manly to the City which takes about 15<br />mins away by fast ferry...<br />I'm sure you will enjoy our little Clontarf Retreat....",https://a0.muscache.com/pictures/1ed95156-93d5-4b84-8873-cb8b437977f6.jpg,21895984,https://www.airbnb.com/users/show/21895984,Carolyn,2014-09-28,"Clontarf, Australia","Live life to the full. It is a journey, so travel it well !

We love to travel to  different countries, we love all the different cultures people etc ...

We have our bucket list and we are trying to get through it  even though covid has changed it a little bit for the moment …

We have two beautiful girls who love to travel,  one lived in Copenhagen on an exchange, my other daughter has just finished  Uni In Wollongong 

I love hosting different people from all over the world, I strive to achieve 100% being a super host 

I’m always looking for feedback to improve...",within an hour,100%,94%,t,https://a0.muscache.com/im/pictures/user/bf35562b-ec40-4e72-afcd-816ca0e41936.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/bf35562b-ec40-4e72-afcd-816ca0e41936.jpg?aki_policy=profile_x_medium,Balgowlah,1.0,1.0,"['email', 'phone']",t,t,"Sydney , New South Wales, Australia",Manly,,-33.80399,151.25237,Entire rental unit,Entire home/apt,2,,1 bath,1.0,2.0,"[""Freezer"", ""Beachfront"", ""Barbecue utensils"", ""Rice maker"", ""Smoke alarm"", ""Waterfront"", ""Baking sheet"", ""Kitchen"", ""Room-darkening shades"", ""Coffee maker"", ""Cooking basics"", ""Paid parking off premises"", ""Bed linens"", ""Wifi"", ""Dishwasher"", ""Stove"", ""Essentials"", ""Dryer"", ""Hot water"", ""Shower gel"", ""First aid kit"", ""Drying rack for clothing"", ""Hangers"", ""Dining table"", ""Kayak"", ""Dishes and silverware"", ""Heating"", ""Outdoor shower"", ""Air conditioning"", ""Portable fans"", ""Ceiling fan"", ""Wine glasses"", ""Private entrance"", ""Outdoor dining area"", ""Microwave"", ""Private patio or balcony"", ""Free parking on premises"", ""Extra pillows and blankets"", ""Long term stays allowed"", ""Hair dryer"", ""Body soap"", ""TV"", ""Carbon monoxide alarm"", ""Toaster"", ""Outdoor furniture"", ""Hot water kettle"", ""Clothing storage: wardrobe"", ""Iron"", ""Fire extinguisher"", ""Free street parking"", ""Refrigerator"", ""Free washer \u2013 In unit"", ""BBQ grill"", ""NEFF oven"", ""Shampoo"", ""Conditioner"", ""Cleaning products""]",$499.00,2,28,2,2,28,28,2.0,28.0,,t,1,1,1,1,2022-09-10,122,23,2,2017-10-05,2022-08-31,4.99,4.99,4.98,4.98,4.98,4.99,4.92,PID-STRA-2047,f,1,1,0,0,2.03
7,16042949,https://www.airbnb.com/rooms/16042949,20220909140106,2022-09-09,previous scrape,MANLY BEACH - CHIC CAFE LIFESTYLE,"My place is 5 mins walk to Ferry/Jet cat to City; buses City & local<br />Hop On/Hop Off free buses;  Fast cat to Watsons Bay;  bicycle hiring<br />Aldi, Coles supermarkets, chic coffee places & fashion.<br />Fine/casual dining & Tourist Info Centre at Manly Wharf. <br /><br />5 mins walk to several beaches & Manly Beach surf, famous Shelley Beach,<br />beautiful walks.  <br />Manly Yacht & Manly Skiff Club (with huge outdoor deck), & ICMS College. <br />Warringah Mall large shopping centre & Cinema, 10 mins by bus.<br />Unique location.<br /><br /><b>The space</b><br />REAR of Federation/modern boutique apt block only 4, light airy, private & quiet.  <br />Entry rear door U4 with garden, only 3 steps.    <br />No need noisy air-con with sea breezes and double brick construction.  <br />Cool in summer, warm in winter.  Good portable fan, if required.<br /><br />Hallway is locked off to Front of Apartment.  Depending on your dates, the Front locked off section might be vacant, or be occ","Manly and all of its beautiful places and walks.  <br />Great safe swimming areas and safe coming home on the ferries until 1AM.  <br />Famous Shelley Beach, Manly Beach and several other little picnic areas.<br />White cockatoos are all out to play in summertime.  <br />Swim in harbour or on the opposite side at Manly surf (depending on which way any wind is blowing).  This choice north or south option is unique to Manly.",https://a0.muscache.com/pictures/miso/Hosting-16042949/original/1f81bb47-afea-495a-a102-d1d69324ad8d.jpeg,23845794,https://www.airbnb.com/users/show/23845794,Noreen,2014-11-17,,"Hi and welcome to paradise! 

A long term resident with local knowledge of this beautiful beach location; and so close to the City. Many people return here once experienced. 

I have been fortunate to travel the world extensively and enjoy hosting, as others have for me. 

My aim is to keep on improving for guests and your feedback is appreciated during your stay. 

 ",,,100%,t,https://a0.muscache.com/im/pictures/user/d405352a-e01c-40dd-a782-a092c05b7187.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/d405352a-e01c-40dd-a782-a092c05b7187.jpg?aki_policy=profile_x_medium,Manly,3.0,3.0,"['email', 'phone']",t,t,"Manly Beach, New South Wales, Australia",Manly,,-33.80328,151.28485,Private room in rental unit,Private room,2,,1 private bath,1.0,1.0,"[""Dedicated workspace"", ""Beach essentials"", ""Freezer"", ""Beachfront"", ""Rice maker"", ""Smoke alarm"", ""Waterfront"", ""Lake access"", ""German Ilvie electric  oven"", ""Kitchen"", ""Room-darkening shades"", ""Coffee maker"", ""Cooking basics"", ""Bed linens"", ""Wifi"", ""Dishwasher"", ""Stove"", ""Essentials"", ""Hot water"", ""Shower gel"", ""First aid kit"", ""Laundromat nearby"", ""Luggage dropoff allowed"", ""Hangers"", ""Fisher Paykl  refrigerator"", ""Dining table"", ""Window guards"", ""Single level home"", ""Dishes and silverware"", ""Heating"", ""Wine glasses"", ""Outdoor dining area"", ""Portable air conditioning"", ""Portable fans"", ""Private entrance"", ""Safe"", ""Microwave"", ""Bathtub"", ""Extra pillows and blankets"", ""Long term stays allowed"", ""Hair dryer"", ""Body soap"", ""Toaster"", ""Outdoor furniture"", ""Hot water kettle"", ""Clothing storage: wardrobe"", ""Iron"", ""Fire extinguisher"", ""Free street parking"", ""Ethernet connection"", ""Free washer \u2013 In unit"", ""Shampoo"", ""Conditioner"", ""Lock on bedroom door"", ""Cleaning products""]",$300.00,2,31,2,2,1125,1125,2.0,1125.0,,t,0,0,0,0,2022-09-09,18,1,0,2017-03-20,2022-04-18,4.76,4.71,4.65,4.94,4.82,5.0,4.59,PID-STRA-15516,f,3,2,1,0,0.27
8,11156,https://www.airbnb.com/rooms/11156,20220909140106,2022-09-09,city scrape,An Oasis in the City,"Very central to the city which can be reached by an easy walk or by bus, with transport at the door, if required, and all amenities within easy reach.<br /><br /><b>The space</b><br />Potts Pt. is a vibrant  and popular inner-city suburb & the area was described as 'Australia's Bohemian Heart' in the article by Raymond Bonner in the New York Times . Ultra-convenient & within walking distance of the central business district  & all tourist sites such as: <br />the Botanic Gardens, <br />Opera House, <br />NSW Art Gallery, <br />Australian Museum,  <br />Circular Quay, the Sydney Opera House, and BridgeClimb<br />Darling Harbour<br />Museum of Contemporary Art<br />Art Gallery of NSW<br />Sydney Museum<br />Hyde Park<br />Botanic Gardens<br />Chinatown, Paddy's Markets, and the Chinese Gardens<br />Paddington (& the Saturday markets)<br />The historic Rocks area (& the markets on Saturday & Sunday)<br /><br />It is 7 minutes walk to the Kings Cross.train (Metro) station & buses to the be","It is very close to everything and everywhere, has  many trees along the streets and is in a beautiful part of the city",https://a0.muscache.com/pictures/2797669/17895d03_original.jpg,40855,https://www.airbnb.com/users/show/40855,Colleen,2009-09-23,"Potts Point, Australia","Recently retired, I've lived & worked on 4 continents & over the years have travelled thru about 50 countries. I live in inner-Sydney within walking distance of most places (except the beaches, which are approx. 30 minutes. away on public transport).  Interests are travelling, wildlife, reading,snorkelling, theatre, ballet & interesting food. ",,,100%,f,https://a0.muscache.com/im/users/40855/profile_pic/1259121939/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/40855/profile_pic/1259121939/original.jpg?aki_policy=profile_x_medium,Potts Point,1.0,1.0,"['email', 'phone']",t,f,"Potts Point, New South Wales, Australia",Sydney,,-33.86767,151.22497,Private room in rental unit,Private room,1,,1 shared bath,1.0,1.0,"[""Washer"", ""Smoke alarm"", ""Kitchen"", ""Cooking basics"", ""Bed linens"", ""Wifi"", ""Dishwasher"", ""Stove"", ""Essentials"", ""Hot water"", ""Shower gel"", ""Hangers"", ""Single level home"", ""Dishes and silverware"", ""Heating"", ""Microwave"", ""Extra pillows and blankets"", ""Long term stays allowed"", ""Hair dryer"", ""TV"", ""Oven"", ""Elevator"", ""Backyard"", ""Iron"", ""Fire extinguisher"", ""Refrigerator"", ""Shampoo"", ""Patio or balcony""]",$65.00,90,180,90,90,180,180,90.0,180.0,,t,29,59,89,364,2022-09-09,195,0,0,2009-12-05,2020-03-13,4.59,4.76,4.3,4.8,4.76,4.82,4.71,,f,1,0,1,0,1.25
9,621173628490426310,https://www.airbnb.com/rooms/621173628490426310,20220909140106,2022-09-10,previous scrape,Villa Tranquillity by Clontarf Beach,"The opportunity presents itself to reserve Villa Tranquillity as a furnished stay as part of the Etch Holidays’ Program. If you’re looking for to have fun with the whole family then look no further than the stylish Villa Tranquillity. <br /><br />Located on Clontarf Beach, now one of the most prized suburbs in Sydney, the home is both spacious and welcoming throughout. The entire package comes together to form a very comfortable environment and the perfect home away from home while in Sydney.<br /><br /><b>License number</b><br />PID-STRA-28353",,https://a0.muscache.com/pictures/miso/Hosting-621173628490426310/original/d4de364c-ae86-4ab5-b888-f9ebd9dd4748.jpeg,1331819,https://www.airbnb.com/users/show/1331819,Holidays,2011-10-24,"Balgowlah, Australia",Trusted Northern Beaches Real Estate Agency - established 2015 ,within an hour,92%,88%,f,https://a0.muscache.com/im/pictures/user/a2f80150-6205-4079-8a07-50142b30355d.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/a2f80150-6205-4079-8a07-50142b30355d.jpg?aki_policy=profile_x_medium,,7.0,7.0,"['email', 'phone']",t,t,,Manly,,-33.8087,151.25251,Entire villa,Entire home/apt,8,,3 baths,4.0,5.0,"[""Dedicated workspace"", ""Washer"", ""Wifi"", ""Pool"", ""Free parking on premises"", ""Long term stays allowed"", ""BBQ grill"", ""Kitchen"", ""Outdoor dining area"", ""Outdoor shower"", ""Air conditioning""]","$1,600.00",21,365,21,21,365,365,21.0,365.0,,t,0,0,0,0,2022-09-10,0,0,0,,,,,,,,,,PID-STRA-28353,t,7,7,0,0,
